medication_id	medication_name	disease_id
1	5-Hydroxytryptophan	1
2	Acenocoumarol	2
3	Acetazolamide	8
4	Acetylcysteine	6
5	Aciclovir	4
6	Corticotropin	8
7	Albendazole	8
8	Albuterol	6
9	Ethanol	10
10	Alfentanil	4
11	Allopurinol	4
12	Eflornithine	3
13	Alprazolam	1
14	Alprostadil	10
15	Aluminium Hydroxide	6
16	Amantadine	10
17	Mitomycin	9
18	Amikacin	4
19	Amiodarone	2
20	Amitriptyline	1
21	Amobarbital	1
22	Amoxapine	1
23	Amoxicillin	6
24	Ampicillin	6
25	Apomorphine	1
26	Arginine	10
27	Ascorbic Acid	3
28	Aztreonam	6
29	Bacitracin	5
30	Benzoyl Peroxide	1
31	Benzphetamine	10
32	Berberine	10
33	Betamethasone	2
34	Biotin	10
35	Boric Acid	6
36	Botulinum Toxin Type A	5
37	Bromazepam	1
38	Bupivacaine	5
39	Buspirone	1
40	1,25-Dihydroxycholecalciferol	4
41	Calcium	4
42	Calcium Hydroxide	6
43	Carbocisteine	6
44	Cefaclor	6
45	Cefotaxime	6
46	Ceftazidime	6
47	Cefuroxime	6
48	Clorazepate	1
49	Chlorcyclizine	6
50	Chlordiazepoxide	1
51	Chlorpromazine	1
52	Cholesterol	10
53	Ciprofloxacin	6
54	Cisplatin	9
55	Citalopram	1
56	Citrulline	8
57	Clindamycin	6
58	Clonazepam	10
59	Clopamide	1
60	Colchicine	2
61	Collagen	2
62	Cortisone	8
63	Cosyntropin	8
64	Cyclopenthiazide	8
65	Cyclophosphamide	9
66	Cysteamine	4
67	Deferoxamine	4
68	Desmopressin	10
69	Dexamethasone	8
70	Dextromethorphan	6
71	Diazepam	1
72	Diazoxide	8
73	Dicloxacillin	6
74	Amfepramone	10
75	Dihydroergotamine	6
76	Dinoprostone	10
77	Dopamine	4
78	Doxapram	6
79	Doxycycline	6
80	Droperidol	1
81	Diprophylline	6
82	Enflurane	1
83	Ephedrine	6
84	Epirubicin	9
85	Ergocalciferol	4
86	Ergotamine	1
87	Erythromycin	6
88	Estazolam	1
89	Ethionamide	10
90	Ethylestrenol	4
91	Etoposide	9
92	Famotidine	4
93	Flecainide	2
94	Flumazenil	1
95	Fluorouracil	3
96	Flurbiprofen	8
97	Folic Acid	10
98	Fructose	10
