"RXCUI","DRUG_DESCRIPTION","VOCABULARY","CODE","INDICATION_DESCRIPTION"
44,"mesna","ICD10CM","N30","Cystitis"
44,"mesna","ICD10CM","N30.01","Acute cystitis with hematuria"
44,"mesna","ICD10CM","N30.9","Cystitis, unspecified"
44,"mesna","ICD10CM","N30.90","Cystitis, unspecified without hematuria"
44,"mesna","ICD10CM","N30.91","Cystitis, unspecified with hematuria"
44,"mesna","ICD10CM","P54.9","Neonatal hemorrhage, unspecified"
44,"mesna","ICD10CM","R58","Hemorrhage NOS"
44,"mesna","ICD10CM","T50.904","Poisoning by unspecified drugs, medicaments and biological substances, undetermined"
44,"mesna","ICD9CM","287.9","Unspecified hemorrhagic conditions"
44,"mesna","ICD9CM","459.0","Hemorrhage NOS"
44,"mesna","ICD9CM","595","Cystitis"
44,"mesna","ICD9CM","595.3","Trigonitis"
44,"mesna","ICD9CM","595.9","Cystitis NOS"
44,"mesna","ICD9CM","977.9","Poison-medicinal agt NOS"
74,"4-aminobenzoic acid","ICD10CM","L55","Sunburn"
74,"4-aminobenzoic acid","ICD10CM","L55.9","Sunburn, unspecified"
74,"4-aminobenzoic acid","ICD10CM","L56.8","Other specified acute skin changes due to ultraviolet radiation"
74,"4-aminobenzoic acid","ICD9CM","692.71","Sunburn"
99,"6-aminocaproic acid","ICD10CM","P54.9","Neonatal hemorrhage, unspecified"
99,"6-aminocaproic acid","ICD10CM","R58","Hemorrhage NOS"
99,"6-aminocaproic acid","ICD9CM","287.9","Unspecified hemorrhagic conditions"
99,"6-aminocaproic acid","ICD9CM","289.9","Blood disease NOS"
99,"6-aminocaproic acid","ICD9CM","459.0","Hemorrhage NOS"
103,"mercaptopurine","ICD10CM","C83.50","Lymphoblastic (diffuse) lymphoma, unspecified site"
103,"mercaptopurine","ICD10CM","C85.9","Lymphoma NOS"
103,"mercaptopurine","ICD10CM","C85.90","Non-Hodgkin lymphoma, unspecified, unspecified site"
103,"mercaptopurine","ICD10CM","C91.0","Acute lymphoblastic leukemia [ALL]"
103,"mercaptopurine","ICD10CM","C91.00","Acute lymphoblastic leukemia NOS"
103,"mercaptopurine","ICD10CM","C91.1","Chronic lymphocytic leukemia of B-cell type"
103,"mercaptopurine","ICD10CM","C91.10","Chronic lymphocytic leukemia of B-cell type NOS"
103,"mercaptopurine","ICD10CM","C91.90","Lymphoid leukemia, unspecified not having achieved remission"
103,"mercaptopurine","ICD9CM","200.1","Lymphosarcoma"
103,"mercaptopurine","ICD9CM","200.80","Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
103,"mercaptopurine","ICD9CM","202.5","Letterer-Siwe disease"
